realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,city,period
2.68075245364486,Entire home/apt,3.0,False,0,0,9.0,90,1,2.0,1.5,amsterdam,weekdays
2.9703841186331874,Entire home/apt,2.0,True,1,0,10.0,100,1,1.0,1.5,amsterdam,weekdays
2.805531962210348,Entire home/apt,4.0,False,1,0,10.0,95,2,2.0,1.5,amsterdam,weekdays
3.16877356284592,Private room,5.0,True,1,0,10.0,100,2,1.0,1.0,amsterdam,weekdays
3.0086354914261166,Entire home/apt,4.0,True,0,0,9.0,95,2,1.5,0.0,amsterdam,weekdays
3.076308561900073,Entire home/apt,4.0,False,0,0,10.0,100,2,0.5,1.0,amsterdam,weekdays
2.902346410363381,Entire home/apt,2.0,False,0,0,10.0,100,1,3.5,1.0,amsterdam,weekdays
2.931663488587676,Entire home/apt,4.0,False,0,0,10.0,100,3,3.5,1.0,amsterdam,weekdays
2.788479511622784,Private room,2.0,False,1,0,8.0,80,1,3.5,0.5,amsterdam,weekdays
2.452990967411771,Private room,2.0,False,0,0,9.0,90,1,1.0,1.0,amsterdam,weekdays
2.9395717734948774,Entire home/apt,4.0,False,0,0,10.0,100,3,4.0,1.5,amsterdam,weekdays
2.2557731640701495,Private room,2.0,False,1,0,9.0,90,1,2.0,2.0,amsterdam,weekdays
2.383947145788339,Private room,2.0,True,0,0,10.0,95,1,8.5,0.5,amsterdam,weekdays
2.621241674308823,Private room,4.0,False,1,0,9.0,90,1,4.0,2.5,amsterdam,weekdays
2.4493898316716245,Private room,2.0,False,0,0,10.0,90,1,2.5,1.5,amsterdam,weekdays
2.332689505469961,Private room,2.0,False,0,1,10.0,95,1,8.5,1.0,amsterdam,weekdays
2.6517887577095434,Private room,2.0,False,1,0,10.0,95,1,1.0,0.5,amsterdam,weekdays
2.788479511622784,Entire home/apt,2.0,False,0,0,10.0,100,1,2.5,0.5,amsterdam,weekdays
2.445758585751496,Private room,2.0,False,0,1,9.0,85,1,8.5,1.0,amsterdam,weekdays
2.82194007328645,Entire home/apt,2.0,False,0,0,8.0,80,1,3.5,0.5,amsterdam,weekdays
2.445758585751496,Private room,2.0,False,1,0,9.0,95,1,3.0,0.5,amsterdam,weekdays
3.0189868884129374,Entire home/apt,2.0,False,0,0,10.0,100,1,1.0,0.5,amsterdam,weekdays
2.4767173687473725,Private room,2.0,False,1,0,9.0,95,1,4.0,3.0,amsterdam,weekdays
2.6081438921441125,Entire home/apt,2.0,False,1,0,10.0,90,1,3.5,0.5,amsterdam,weekdays
3.407591953538311,Entire home/apt,6.0,True,1,0,10.0,100,3,1.0,1.0,amsterdam,weekdays
2.993716092619021,Entire home/apt,2.0,False,0,0,10.0,95,1,2.0,1.5,amsterdam,weekdays
3.0842604165558396,Entire home/apt,4.0,False,0,0,9.0,95,0,2.0,1.5,amsterdam,weekdays
2.485457335943018,Private room,4.0,True,0,0,10.0,95,1,3.5,0.0,amsterdam,weekdays
2.972015375647716,Private room,4.0,False,0,1,9.0,90,1,1.0,0.5,amsterdam,weekdays
2.4660614096151234,Private room,2.0,True,0,0,9.0,85,1,4.5,0.5,amsterdam,weekdays
2.742574765154314,Entire home/apt,4.0,True,1,0,10.0,100,1,4.5,0.5,amsterdam,weekdays
3.089509507286765,Entire home/apt,4.0,False,1,0,8.0,80,2,4.0,0.5,amsterdam,weekdays
2.4012552885203426,Private room,2.0,False,0,0,8.0,85,1,2.5,0.5,amsterdam,weekdays
2.4120284187844847,Private room,2.0,False,1,0,9.0,90,1,3.0,1.0,amsterdam,weekdays
2.7504198273356057,Private room,4.0,False,0,0,10.0,95,1,1.0,1.0,amsterdam,weekdays
2.6647537348739108,Entire home/apt,2.0,False,0,1,10.0,90,0,0.5,0.0,amsterdam,weekdays
2.661215674720301,Entire home/apt,2.0,True,1,0,10.0,100,1,2.0,1.5,amsterdam,weekdays
2.2658215566277833,Private room,2.0,True,0,0,10.0,100,1,3.5,1.0,amsterdam,weekdays
2.8924214569598954,Entire home/apt,4.0,False,1,0,10.0,100,2,2.0,0.0,amsterdam,weekdays
2.35929664193541,Private room,2.0,False,1,0,10.0,90,1,1.5,1.0,amsterdam,weekdays
2.3452786327779815,Private room,2.0,True,1,0,10.0,100,1,11.0,1.0,amsterdam,weekdays
2.586540423438473,Private room,2.0,False,1,0,9.0,95,0,0.0,0.5,amsterdam,weekdays
2.6398265009140425,Entire home/apt,3.0,False,0,0,9.0,90,1,3.5,0.5,amsterdam,weekdays
2.7968457830252555,Entire home/apt,4.0,True,1,0,10.0,95,2,2.5,0.5,amsterdam,weekdays
2.9221499336070726,Entire home/apt,2.0,False,0,0,10.0,100,1,1.0,0.5,amsterdam,weekdays
2.9208085765668947,Entire home/apt,4.0,False,0,0,10.0,95,2,2.5,0.5,amsterdam,weekdays
2.627525399137903,Entire home/apt,2.0,False,0,0,10.0,95,1,1.5,1.5,amsterdam,weekdays
2.779779947600013,Entire home/apt,4.0,False,0,0,10.0,95,1,2.0,1.5,amsterdam,weekdays
3.154036029649679,Entire home/apt,4.0,False,0,0,9.0,95,2,0.5,0.5,amsterdam,weekdays
2.8676055425559865,Entire home/apt,4.0,False,0,0,10.0,95,3,1.5,1.0,amsterdam,weekdays
2.5990165268078194,Entire home/apt,3.0,False,1,0,9.0,90,1,6.5,2.5,amsterdam,weekdays
2.462567468952818,Private room,2.0,False,0,0,9.0,90,1,2.5,0.5,amsterdam,weekdays
2.3448188185667873,Private room,2.0,True,1,0,9.0,95,1,2.5,1.5,amsterdam,weekdays
2.3906223124622765,Private room,2.0,True,1,0,10.0,100,1,6.0,1.5,amsterdam,weekdays
2.293608785097419,Private room,2.0,False,1,0,8.0,85,1,10.5,0.5,amsterdam,weekdays
2.4116341432404704,Private room,2.0,True,1,0,10.0,100,1,4.5,0.5,amsterdam,weekdays
3.150236152739671,Private room,4.0,False,0,0,10.0,95,4,2.5,1.5,amsterdam,weekdays
2.68075245364486,Entire home/apt,2.0,False,0,0,9.0,95,1,5.0,0.5,amsterdam,weekdays
2.9640183033836305,Entire home/apt,4.0,True,0,0,10.0,100,3,1.0,1.0,amsterdam,weekdays
2.794401800875432,Entire home/apt,2.0,True,1,0,10.0,100,1,2.0,1.5,amsterdam,weekdays
2.5011446208663415,Private room,2.0,False,1,0,10.0,95,1,0.5,0.5,amsterdam,weekdays
2.536868620058975,Entire home/apt,3.0,False,1,0,9.0,85,0,5.0,4.0,amsterdam,weekdays
2.6121397292516493,Entire home/apt,4.0,False,1,0,9.0,90,2,2.5,2.0,amsterdam,weekdays
2.451194132072851,Private room,2.0,False,0,0,10.0,100,1,2.0,1.5,amsterdam,weekdays
2.5046611945891786,Private room,2.0,False,0,1,9.0,95,1,0.5,0.0,amsterdam,weekdays
2.462567468952818,Private room,2.0,False,1,0,8.0,80,1,2.0,1.0,amsterdam,weekdays
2.5809673655267678,Private room,2.0,False,1,0,10.0,90,1,1.0,0.5,amsterdam,weekdays
2.441728831574844,Private room,2.0,True,1,0,10.0,95,1,6.0,1.5,amsterdam,weekdays
2.909048423562846,Entire home/apt,2.0,False,0,0,10.0,100,1,1.5,0.5,amsterdam,weekdays
3.0438808246999733,Entire home/apt,2.0,True,0,0,10.0,100,1,1.0,1.0,amsterdam,weekdays
2.6386587280084988,Entire home/apt,2.0,False,1,0,10.0,95,1,2.5,0.5,amsterdam,weekdays
2.5809673655267678,Private room,2.0,True,0,0,10.0,100,1,1.0,0.5,amsterdam,weekdays
2.71068737408105,Entire home/apt,3.0,False,0,0,10.0,100,2,3.0,2.0,amsterdam,weekdays
2.49107827941834,Private room,2.0,False,0,1,10.0,95,1,2.5,2.0,amsterdam,weekdays
